label,endpoint,n,p50_ms,p95_ms,p99_ms,max_ms,mean_body_bytes,failures
K=12,/v1/monitoring/items,50,19,24,26,26,2734,0
K=12,/v1/monitoring/campaigns,50,4,5,6,6,693,0
K=33,/v1/monitoring/items,50,33,40,52,52,5722,0
K=33,/v1/monitoring/campaigns,50,4,5,9,9,693,0
K=100,/v1/monitoring/items,50,79,95,101,101,14899,0
K=100,/v1/monitoring/campaigns,50,4,5,7,7,693,0
K=300,/v1/monitoring/items,50,213,223,237,237,42423,0
K=300,/v1/monitoring/campaigns,50,4,5,5,5,693,0
D=8,/v1/monitoring/items,50,19,23,25,25,2734,0
D=8,/v1/monitoring/campaigns,50,3,5,5,5,693,0
D=28,/v1/monitoring/items,50,28,31,34,34,5988,0
D=28,/v1/monitoring/campaigns,50,4,5,10,10,693,0
D=90,/v1/monitoring/items,50,48,51,61,61,16118,0
D=90,/v1/monitoring/campaigns,50,4,5,7,7,693,0
C=12,/v1/monitoring/items,50,20,23,25,25,2734,0
C=12,/v1/monitoring/campaigns,50,4,5,8,8,693,0
C=50,/v1/monitoring/items,50,28,31,35,35,3658,0
C=50,/v1/monitoring/campaigns,50,4,5,8,8,693,0
C=200,/v1/monitoring/items,50,30,32,43,43,3658,0
C=200,/v1/monitoring/campaigns,50,4,5,5,5,693,0
N=10,/v1/monitoring/items,50,15,20,24,24,2734,0
N=10,/v1/monitoring/campaigns,50,3,4,5,5,693,0
N=100,/v1/monitoring/items,50,18,22,23,23,2734,0
N=100,/v1/monitoring/campaigns,50,3,4,5,5,693,0
N=1000,/v1/monitoring/items,50,18,22,25,25,2734,0
N=1000,/v1/monitoring/campaigns,50,3,4,5,5,693,0
N=5000,/v1/monitoring/items,50,18,21,27,27,2734,0
N=5000,/v1/monitoring/campaigns,50,3,6,11,11,693,0
x100종합,/v1/monitoring/items,50,155,170,172,172,46674,0
x100종합,/v1/monitoring/campaigns,50,3,4,4,4,693,0
